OBJECTID,坡度,剖面曲率,平面曲率,岩性,TWI,降雨,NDVI,距河流距离,距断层距离,斜坡单元,斜坡结构,灾害类别
1394860,2,7,6,2,2,2,7,5,2,1,4,0
2985332,1,4,6,3,1,6,7,1,2,23,4,0
2239378,4,8,3,3,7,3,9,3,3,57,4,0
2684007,5,4,6,3,3,5,5,4,3,45,5,0
1158740,5,4,5,6,4,1,6,1,2,88,4,0
2997888,4,5,6,3,8,5,7,3,2,23,4,0
1746267,6,6,6,3,5,2,7,1,4,78,1,0
2760509,4,6,5,3,6,6,8,1,2,31,4,0
2285278,5,5,6,3,7,7,9,2,4,56,1,0
2537449,4,7,5,3,2,5,7,3,4,12,4,0
1576506,7,6,4,2,4,4,6,4,1,80,1,0
1019299,7,6,5,4,3,4,8,1,1,90,1,0
2900834,7,6,6,3,6,5,5,3,3,19,4,0
2594148,8,4,7,3,6,7,9,2,4,50,4,0
708693,3,6,6,2,6,2,6,4,1,0,0,0
3450471,2,6,6,3,2,8,8,1,2,21,4,0
798398,3,5,6,1,1,2,9,1,1,95,4,0
1731580,4,6,5,3,1,1,6,2,3,77,5,0
2618644,6,6,5,3,3,5,8,1,1,48,4,0
3144278,2,4,6,3,4,3,6,2,3,37,4,0
2631493,5,4,6,3,2,7,8,1,1,48,4,0
2445323,3,6,6,3,1,5,7,1,3,10,5,0
2617468,3,6,5,3,3,5,9,1,2,48,4,0
1791616,6,6,6,3,6,3,8,2,2,75,1,0
1810030,5,7,5,3,3,3,6,2,2,75,1,0
3565640,1,8,6,3,4,7,6,2,4,43,4,0
3421300,2,6,6,3,1,7,8,2,3,20,4,0
3023949,3,5,6,3,3,5,6,2,1,23,4,0
3624707,5,5,4,0,5,5,9,-1,1,25,4,0
1505540,3,5,6,2,6,3,8,5,2,3,4,0
2448458,7,7,4,3,5,8,9,1,3,10,5,0
2759562,8,5,6,3,6,4,8,4,1,47,1,0
569592,6,4,7,2,5,2,8,4,2,96,4,0
576209,4,5,6,2,5,3,2,1,3,0,0,0
1660251,4,5,6,2,4,2,9,3,1,7,4,0
1289249,2,6,6,2,6,1,6,1,3,2,5,0
2459772,4,6,6,3,3,5,8,2,3,10,5,0
2242951,7,7,4,3,3,6,8,2,3,64,1,0
602237,4,6,5,2,3,4,8,2,2,96,4,0
455361,2,7,5,2,5,2,7,5,4,105,4,0
3201110,8,7,2,3,5,4,5,2,1,20,4,0
1055210,3,6,7,6,2,4,6,2,1,113,5,0
630930,6,6,6,2,3,3,6,1,2,0,0,0
2158972,7,3,7,3,5,3,9,3,3,66,4,0
628903,3,5,4,2,4,1,8,3,1,96,4,0
3276506,2,5,7,3,3,6,9,3,3,118,3,0
1874772,2,6,6,3,7,3,8,1,3,72,1,0
1971032,7,4,6,3,3,6,5,3,2,71,4,0
743472,4,6,5,2,1,2,6,3,2,96,4,0
2813608,2,5,6,3,4,7,9,2,1,29,4,0
1509791,7,6,5,2,3,4,8,3,1,5,4,0
624080,6,7,5,2,2,2,9,2,2,94,4,0
845990,3,5,6,4,3,3,8,1,1,93,4,0
3585373,4,3,6,3,2,7,7,1,2,25,4,0
1971538,3,6,6,3,3,7,8,2,1,71,4,0
1482280,5,7,5,2,4,2,9,5,3,3,4,0
1196816,7,6,5,2,6,2,4,4,1,86,4,0
537970,4,5,6,2,1,3,7,4,3,96,4,0
29901,3,5,5,1,5,1,7,2,5,107,1,0
1413298,3,5,6,1,3,2,6,3,2,1,4,0
2515507,4,7,5,3,7,5,4,3,2,11,4,0
1422328,4,6,5,2,3,4,8,3,1,85,5,0
1557949,5,7,3,2,1,4,8,2,1,81,4,0
3361067,2,6,5,3,1,5,9,1,1,23,4,0
791395,7,6,6,4,2,1,7,2,2,98,4,0
2920703,5,3,7,3,6,4,5,2,2,34,1,0
1807192,2,5,5,3,2,2,6,1,3,76,5,0
1054933,4,5,6,4,2,1,6,2,1,113,4,0
3080715,4,5,6,3,7,4,9,3,1,13,3,0
1569986,2,6,6,2,6,4,2,5,1,4,4,0
1930183,4,4,6,3,3,8,7,3,3,73,4,0
805958,4,5,6,1,7,1,7,1,1,95,4,0
1711412,5,5,7,3,3,2,5,4,1,75,4,0
1879666,2,4,7,3,4,2,7,3,3,74,5,0
855242,2,4,5,4,1,1,8,2,2,91,1,0
2432092,1,6,4,3,5,5,8,2,3,10,5,0
2419746,5,5,5,3,5,5,9,1,4,10,5,0
3324289,2,6,5,3,1,8,8,4,2,23,4,0
672482,5,5,6,4,7,2,8,2,2,94,4,0
1557882,4,6,5,2,6,4,8,3,1,80,1,0
393096,7,6,5,2,2,2,8,5,4,107,4,0
965225,4,6,5,1,2,3,8,2,1,92,5,0
2493575,7,4,6,3,6,7,8,3,3,12,4,0
3329573,3,6,5,3,4,6,6,5,3,118,3,0
3072601,3,5,5,3,3,5,8,1,2,23,4,0
3224681,3,6,5,3,7,7,7,1,1,23,4,0
2465590,8,7,6,3,8,8,9,2,3,10,5,0
3421213,3,6,5,3,1,6,7,5,2,20,4,0
3008658,4,7,5,3,7,5,6,1,3,42,4,0
2395454,8,3,7,2,4,6,7,0,5,0,0,0
573783,2,6,5,2,5,3,9,1,2,94,4,0
2548491,5,7,3,3,2,4,7,3,2,50,4,0
2358666,5,4,6,3,7,4,9,1,3,52,5,0
668177,4,5,6,2,3,1,7,2,1,100,1,0
3138250,5,6,6,3,4,6,9,2,2,13,3,0
1474066,4,6,5,2,5,3,8,2,1,1,4,0
1916428,4,6,5,3,3,4,7,3,3,74,5,0
354407,2,5,5,2,5,1,7,4,5,97,4,0
2208211,2,7,6,3,2,4,8,5,1,58,4,0
2059217,8,6,5,3,8,4,7,1,1,58,4,0
3391846,1,6,5,3,2,6,6,2,2,26,4,0
560908,4,6,5,2,2,3,4,1,4,96,4,0
1229275,6,5,6,2,4,2,4,1,3,87,1,0
1024432,5,5,5,1,6,3,8,1,1,90,1,0
1337957,6,6,6,2,5,2,8,5,2,2,5,0
554426,0,7,5,2,3,3,4,4,3,96,4,0
760056,3,6,6,4,1,1,7,2,2,94,4,0
2091802,9,5,6,3,3,5,7,1,3,58,4,0
6292,3,6,6,2,3,0,6,2,5,107,1,0
1147362,7,4,7,2,3,3,5,3,3,90,1,0
1708572,3,6,6,3,5,2,2,2,3,75,4,0
2116065,8,5,7,3,3,5,6,4,2,58,4,0
1312622,5,4,6,2,6,1,7,1,3,2,5,0
3077508,3,5,6,3,5,6,6,1,2,42,4,0
2247309,5,7,3,3,2,3,7,3,2,57,4,0
1377033,2,7,4,4,1,4,5,3,2,86,5,0
2292021,7,5,6,3,4,6,8,4,1,51,4,0
2907762,8,8,3,3,3,5,6,2,1,28,4,0
2368155,5,5,5,2,8,8,7,1,4,62,4,0
2817845,5,5,5,3,5,3,7,4,1,19,4,0
2157178,6,4,5,3,5,4,8,4,1,58,4,0
803874,4,4,7,2,1,1,7,1,2,91,1,0
1037451,6,5,6,2,6,3,8,2,1,90,1,0
1322645,5,5,7,2,2,1,9,5,2,2,5,0
2119534,6,6,5,3,4,4,8,1,2,66,4,0
3165251,6,6,5,3,3,4,8,1,1,17,1,0
1243039,6,6,5,2,2,1,8,3,2,87,1,0
1940387,3,4,6,3,5,7,7,4,3,72,4,0
1254460,2,5,5,2,4,1,8,4,1,86,5,0
2647417,4,5,6,3,7,7,8,1,2,48,4,0
1690882,4,5,6,3,4,2,8,1,3,75,1,0
3252384,3,5,6,3,2,7,7,2,1,118,3,0
2317627,5,5,7,3,5,6,9,4,1,65,4,0
2288753,7,7,5,3,6,8,8,0,5,70,4,0
2364170,4,4,6,2,3,7,9,1,5,53,4,0
2824356,8,6,6,3,2,6,9,4,1,19,4,0
3295570,2,6,5,3,1,6,9,2,2,20,4,0
3622393,9,6,6,0,2,8,9,-1,1,25,4,0
3627795,5,7,3,3,2,3,6,3,1,120,4,0
758212,2,5,5,1,3,2,8,3,1,99,4,0
1772002,2,7,5,3,6,1,8,3,2,83,5,0
3514632,4,8,4,3,2,8,9,1,1,24,3,0
2370050,2,4,7,3,5,4,8,1,3,61,4,0
2228227,4,6,5,3,2,2,8,4,1,68,1,0
2105930,7,6,6,3,5,6,5,3,1,58,4,0
3137083,3,6,6,3,4,6,4,2,1,18,4,0
2152413,8,5,5,3,4,4,9,3,3,58,4,0
3513719,3,6,5,3,4,8,8,1,1,24,3,0
1733392,4,4,6,3,3,3,7,3,2,7,1,0
2306037,4,6,5,3,6,5,7,2,4,62,4,0
2297226,6,4,5,3,6,5,9,4,1,64,1,0
1217416,3,6,4,2,4,2,4,4,2,89,4,0
3185253,7,5,5,3,1,4,9,2,3,41,4,0
3158883,2,6,5,3,3,6,4,1,2,13,3,0
3459816,3,5,6,3,3,8,8,2,1,23,4,0
2206559,5,7,5,3,7,2,7,4,2,58,4,0
2999206,2,6,6,3,2,4,8,1,1,42,4,0
2614612,7,4,7,3,1,4,9,2,1,48,4,0
3099359,4,7,5,3,2,3,7,2,1,19,4,0
2515582,5,7,5,3,3,4,6,3,2,12,4,0
668111,2,6,5,2,7,1,3,2,1,100,5,0
2913737,6,6,4,3,3,4,6,1,1,29,4,0
2496044,7,5,6,3,6,8,9,3,3,10,5,0
34849,4,5,6,2,3,2,7,1,5,106,4,0
3027347,2,6,5,3,2,6,7,2,3,42,4,0
970674,8,6,5,5,5,4,5,4,1,91,4,0
3089674,4,6,6,3,5,5,8,1,1,42,4,0
656614,6,5,6,2,8,2,7,1,2,94,4,0
1305657,7,5,7,2,4,1,8,5,1,85,1,0
864957,2,5,5,1,5,1,9,1,1,93,4,0
1821690,7,5,6,3,1,2,5,1,3,75,1,0
721780,3,6,5,4,4,1,4,1,2,94,4,0
1095627,7,4,7,2,4,4,8,3,2,114,4,0
771491,2,5,5,2,1,2,8,3,1,99,4,0
1239247,4,6,6,2,3,2,4,5,1,86,5,0
920673,4,5,6,1,2,3,7,3,1,92,5,0
750113,5,6,6,4,4,2,7,3,2,99,4,0
3312568,2,6,6,3,2,7,7,1,1,20,4,0
3117273,3,8,4,3,4,4,8,2,1,23,4,0
1247966,1,6,6,2,2,1,6,4,1,86,4,0
2570049,4,6,6,3,3,4,9,2,4,50,4,0
3270585,8,4,7,3,4,6,9,1,2,20,4,0
3373472,3,5,6,3,2,7,9,1,1,23,4,0
432223,9,6,5,2,3,3,6,4,5,97,4,0
3441858,1,6,6,3,7,5,8,1,1,21,4,0
1464213,4,4,7,2,6,2,6,5,3,79,4,0
530308,2,6,7,2,4,3,9,2,3,97,4,0
3507333,2,5,5,3,4,8,9,1,2,20,4,0
972795,4,5,7,1,3,3,9,2,1,92,5,0
1828444,7,6,6,3,2,2,7,1,3,76,5,0
3224530,7,6,5,3,5,7,8,1,1,41,4,0
2877432,3,6,5,3,3,3,9,2,2,29,4,0
1606415,3,5,6,2,5,3,8,5,1,81,4,0
2379855,1,6,5,2,3,8,8,1,4,53,4,0
179651,3,6,5,2,6,3,8,4,5,107,4,0
3284124,7,7,5,3,4,6,7,1,2,40,4,0
1643446,5,4,5,2,4,2,5,5,1,4,1,0
67829,2,4,6,4,7,1,8,5,5,0,0,0
3450711,4,4,6,3,3,8,9,3,1,20,4,0
878849,4,5,5,4,2,2,7,2,2,91,1,0
921322,4,5,5,1,2,3,7,2,1,93,4,0
2164044,7,7,4,3,4,4,9,3,1,58,4,0
471362,2,5,6,2,6,2,7,5,4,105,4,0
720433,3,6,6,2,5,1,6,3,1,100,1,0
2883009,5,7,5,3,1,5,7,2,1,28,4,0
1393070,5,7,5,4,5,4,7,3,2,86,5,0
3512026,2,5,5,3,4,8,6,1,2,20,4,0
1566636,5,5,7,2,5,3,7,5,1,5,4,0
655062,4,4,6,1,2,2,5,3,2,96,4,0
2519996,7,6,5,3,4,4,6,3,4,50,4,0
1775484,7,6,5,3,1,2,8,1,3,77,5,0
2545685,6,7,6,3,3,6,8,4,2,12,4,0
3348129,3,5,6,3,5,7,9,1,1,23,4,0
730057,5,6,5,2,3,3,6,4,2,94,4,0
1438166,4,3,7,2,3,3,8,3,2,1,4,0
2715876,4,5,6,3,2,7,8,4,3,31,4,0
2261437,6,5,6,3,7,3,8,3,3,64,1,0
999268,4,5,6,5,2,4,7,5,1,90,1,0
3320699,9,3,7,3,4,6,8,2,2,118,3,0
3484653,2,6,6,3,3,8,9,5,2,20,4,0
2320513,7,5,5,3,5,6,9,1,4,53,4,0
578741,4,6,5,2,5,2,2,1,2,94,4,0
637332,2,6,6,2,4,1,6,1,1,0,0,0
1393007,4,6,6,4,4,2,2,3,2,86,5,0
2028918,8,4,6,3,5,6,6,2,3,71,4,0
876016,7,6,6,4,5,2,7,1,1,93,4,0
1535797,7,3,6,2,3,4,9,5,2,3,4,0
1553330,7,6,5,2,3,4,8,5,1,5,4,0
1853574,3,5,7,3,2,3,8,1,3,74,5,0
3329723,2,6,5,3,1,6,7,2,2,23,4,0
3397806,3,5,6,3,6,5,8,2,1,26,4,0
1766432,3,6,6,3,2,1,8,2,2,75,4,0
552488,3,4,6,2,3,3,6,4,3,96,4,0
749454,3,5,6,2,2,1,7,4,1,99,4,0
2825305,3,7,5,3,4,7,5,1,1,34,1,0
861116,2,6,6,4,7,2,8,2,2,91,1,0
3446110,2,5,6,3,3,5,9,3,1,23,4,0
1254107,1,6,6,2,2,1,7,1,3,87,1,0
695102,1,6,4,4,6,2,6,1,2,94,4,0
1396921,3,5,5,2,7,2,9,5,2,85,5,0
2522717,6,6,5,0,1,4,6,-1,1,0,0,0
2363508,7,4,5,2,2,6,8,2,4,51,4,0
1052556,4,6,6,6,2,2,6,3,1,113,4,0
617417,1,7,4,2,3,1,7,1,2,0,0,0
2947427,6,5,6,3,5,4,8,3,1,34,1,0
1192435,5,3,5,2,5,1,1,4,1,86,4,0
2816836,4,4,6,3,4,7,8,1,1,29,4,0
2848230,6,6,6,3,7,5,6,4,1,29,4,0
2571673,2,7,6,3,3,4,5,3,2,12,4,0
430800,3,5,6,2,1,3,8,3,4,107,4,0
2962529,3,6,5,3,2,3,8,2,3,34,1,0
1837040,3,5,7,3,3,3,8,1,3,110,4,0
1340092,7,7,6,2,7,2,8,5,2,87,1,0
1943700,7,4,5,3,6,6,8,4,4,74,5,0
674242,4,6,5,4,7,1,7,3,2,94,4,0
980835,5,5,7,1,5,3,9,1,1,91,4,0
1449065,3,6,4,2,4,4,9,4,2,1,4,0
3179589,7,6,5,3,2,5,7,2,1,17,1,0
1048345,5,6,5,6,2,2,7,1,1,113,4,0
2122413,5,6,3,3,8,4,8,2,3,69,4,0
464109,4,7,5,2,2,2,8,3,4,105,4,0
3497588,3,5,6,3,3,7,9,1,1,119,1,0
3432206,3,6,5,3,3,5,8,1,1,23,4,0
2933281,3,5,6,3,1,3,9,3,1,34,1,0
822706,4,6,6,4,5,3,5,2,1,98,4,0
10821,5,5,6,2,1,1,8,1,5,107,1,0
3146998,4,6,7,3,4,5,5,2,2,37,4,0
1549011,6,4,6,2,5,3,7,4,2,4,4,0
2274477,9,6,5,3,5,6,9,1,4,55,4,0
2165141,7,6,6,3,6,3,9,2,3,57,4,0
2981890,1,6,7,3,3,6,9,1,1,42,4,0
3527921,3,4,6,3,6,7,8,1,1,24,3,0
2106964,7,6,6,3,4,5,8,1,3,58,4,0
499365,5,6,6,2,3,2,8,5,3,105,4,0
2275211,8,6,5,3,4,6,9,1,4,67,4,0
3311451,9,6,5,3,4,7,9,1,1,20,4,0
768833,2,5,5,1,6,1,7,1,1,94,4,0
989238,6,4,5,6,2,1,9,1,1,114,4,0
3043656,6,5,6,3,1,4,9,2,3,16,3,0
61137,6,7,4,2,6,1,7,1,5,106,4,0
2197735,2,6,6,3,5,2,9,5,1,58,4,0
2155324,2,4,5,3,5,3,9,2,4,57,4,0
981261,5,4,6,5,6,3,8,4,1,91,4,0
2639092,4,6,5,3,5,7,6,3,3,45,5,0
1825679,3,6,5,3,3,1,7,1,3,75,1,0
2915271,5,5,6,3,2,3,6,1,1,19,4,0
1444237,3,6,5,2,4,4,8,3,1,3,4,0
823266,1,7,4,4,1,1,4,2,1,93,4,0
2809713,4,5,7,3,6,7,9,5,1,29,4,0
1350381,6,6,4,2,3,3,8,5,2,2,5,0
3336087,2,6,5,3,2,6,7,1,2,21,4,0
277738,1,6,6,2,6,1,8,1,5,107,4,0
2003165,8,4,6,3,6,5,9,2,2,73,4,0
3100797,3,5,5,3,5,6,9,2,2,19,4,0
1185117,8,5,5,2,2,2,6,4,1,86,4,0
1590263,4,4,6,2,6,3,5,3,2,80,1,0
2907044,7,7,5,3,5,3,8,1,1,28,4,0
1451680,2,5,5,2,4,2,8,5,3,85,4,0
1793235,4,6,6,3,4,2,7,1,2,75,1,0
575740,5,4,7,2,1,3,9,2,2,94,4,0
2889906,4,5,6,3,3,5,7,3,3,19,4,0
3563664,3,3,5,3,4,8,8,3,3,43,4,0
3183025,3,5,5,3,1,5,8,3,2,22,4,0
1396862,5,6,5,2,3,2,5,5,2,85,4,0
2975044,3,6,5,3,1,5,9,1,1,19,4,0
106680,2,7,5,4,3,1,5,5,5,0,0,0
